ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
73739	A	A3	S. natans,S. tridacnidorum	21	21	A3-A3ah-A3ac-A3m-A3ae	22385-36733-364589-363106-903836	0.837[0.013]-0.051[0.009]-0.042[0.008]-0.042[0.007]-0.028[0.005]
73679	A	A3	S. natans,S. tridacnidorum	4	94	A3	22385	1.000[0.000]
73756	A	A7bb	None	1	1	A7bb	503947	1.000[nan]
74054	C	C1/C3	S. goreaui	15	133	C1/C3		0.609[0.241]/0.391[0.241]
74609	C	C3k/C50a/C3	None	12	14	C3k/C50a/C3-C3ba-C1-C50y-C3dq-C50f	37/20940/32-72-2-827-35-796	0.408[0.094]/0.217[0.101]/0.151[0.083]-0.077[0.025]-0.059[0.020]-0.036[0.010]-0.033[0.013]-0.021[0.005]
74191	C	C15	S. goreaui	7	62	C15/C1	517-2	0.971[0.019]-0.029[0.019]
74193	C	C21/C3	None	7	44	C21/C3		0.780[0.235]/0.220[0.235]
74172	C	C21	None	6	6	C21-C21an-C21ao-C3	41-8129-342356-32	0.672[0.010]-0.175[0.010]-0.079[0.010]-0.074[0.009]
74173	C	C3/C3u/C3fq	None	6	7	C3/C3u/C3fq/C115-C1	32/1330/335601-2-20866	0.396[0.132]/0.246[0.058]/0.171[0.157]-0.131[0.030]-0.056[0.024]
74575	C	C15	None	5	6	C15-C15ed-C15ax	517-775-608	0.892[0.060]-0.060[0.055]-0.048[0.007]
74082	C	C1	S. goreaui	5	272	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	2-1-106-4-32-117-20-118-108-5	0.357[0.050]-0.229[0.041]-0.187[0.067]-0.057[0.006]-0.050[0.015]-0.044[0.017]-0.025[0.011]-0.018[0.009]-0.017[0.011]-0.015[0.003]
73852	C	C1	S. goreaui	5	59	C1	2	1.000[0.000]
74181	C	C8c/C8f	None	4	4	C8c/C8f-C42.2-C8e-C8	62804/911462-1-43057-37489	0.392[0.022]/0.387[0.024]-0.090[0.014]-0.077[0.013]-0.054[0.008]
73879	C	C3/C1	S. goreaui	3	7	C3/C3v/C1-C1q-C1n	32/2-2051-2678-38928	0.449[0.142]/0.305[0.097]-0.107[0.016]-0.080[0.022]-0.058[0.025]
74155	C	C1/C3	S. goreaui	3	48	C1/C42.2/C3-C1b	2/32-1-4	0.639[0.277]/0.219[0.324]-0.127[0.172]-0.015[0.006]
74028	C	C21	None	3	8	C21ai/C21	41-99169	0.741[0.046]-0.259[0.046]
74174	C	C3u/C3	None	3	6	C3u/C3-C115-C1	1330/32-2-20866	0.417[0.186]/0.314[0.076]-0.159[0.057]-0.110[0.080]
74118	C	C3	S. goreaui	2	11	C3/C1-C3v-C1q-C1n-C1cq	32-2-2678-2051-38928-6292	0.491[0.071]-0.217[0.078]-0.106[0.052]-0.103[0.016]-0.058[0.028]-0.025[0.015]
73890	C	C3	None	2	64	C3/C21/C3av-C3at-C3b-C3dp	32-41-20824-80-9767-2416	0.751[0.022]-0.090[0.000]-0.069[0.002]-0.043[0.017]-0.028[0.002]-0.019[0.005]
73889	C	C1/C3	S. goreaui	2	22	C3/C1n/C3v/C1-C1q-C89-C3az-C1aa	2/32-2739-2678-2051-38928-5602-3393	0.286[0.042]/0.215[0.132]-0.190[0.123]-0.133[0.021]-0.096[0.046]-0.049[0.017]-0.017[0.002]-0.015[0.008]
74288	C	C3fn	None	2	8	C3fn	422	1.000[0.000]
73910	C	C31	None	2	6	C17d/C31-C21-C17f-C17e-C21ac	62831-49066-41-70818-70820-38924	0.449[0.025]-0.317[0.017]-0.109[0.014]-0.047[0.005]-0.040[0.001]-0.038[0.010]
74040	C	C31	None	2	140	C31-C21-C31d-C21ac-C21aj	62831-41-71140-38924-42589	0.788[0.014]-0.080[0.001]-0.061[0.008]-0.056[0.019]-0.015[0.003]
73930	C	C3	None	2	195	C3-C3de-C3bb-C21ae-C3an-C3s-C3dk	32-2554-982-38767-38269-1354-71161	0.509[0.011]-0.162[0.019]-0.120[0.010]-0.099[0.008]-0.046[0.010]-0.038[0.002]-0.025[0.013]
74074	C	C1	S. goreaui	2	75	C42.2/C1-C1b-C3-C1au	2-4-32-1-20	0.754[0.001]-0.127[0.005]-0.056[0.010]-0.039[0.021]-0.023[0.004]
74208	C	C65	None	2	4	C65	62874	1.000[0.000]
74610	C	C1	S. goreaui	2	543	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C3	2-308-1-4-32-848-832-831	0.716[0.080]-0.126[0.064]-0.047[0.008]-0.047[0.002]-0.026[0.005]-0.021[0.005]-0.008[0.002]-0.008[0.004]
74000	C	C21	None	1	24	C21	41	1.000[nan]
74131	C	C21	None	1	14	C21-C21u-C3-C21w-C21v	41-46292-32-46294-46293	0.595[nan]-0.233[nan]-0.093[nan]-0.042[nan]-0.038[nan]
74017	C	C21	None	1	8	C21-C3-C21ag-C21af	41-32-46302-37242	0.710[nan]-0.251[nan]-0.025[nan]-0.014[nan]
74154	C	C1	S. goreaui	1	16	C3/C1-C1n-C3v-C1q-C3fh	2-32-2678-2051-38928-39397	0.665[nan]-0.123[nan]-0.120[nan]-0.053[nan]-0.025[nan]-0.014[nan]
74032	C	C1	S. goreaui	1	18	C1/C1b/C3-C1u-C1bo	2-4-32-6276-11962	0.423[nan]-0.337[nan]-0.116[nan]-0.105[nan]-0.020[nan]
74165	C	C21	None	1	8	C21-C21am-C3	41-38757-32	0.742[nan]-0.144[nan]-0.114[nan]
74678	C	C1b	None	1	50	C1b	4	1.000[nan]
73913	C	C1	S. goreaui	1	10	C50b/C1/C3-C1c-C1b	2-20905-32-308-4	0.439[nan]-0.393[nan]-0.079[nan]-0.067[nan]-0.023[nan]
74554	C	C1	S. goreaui	1	43	C1/C1c-C1b-C1al-C42.2	2-308-4-1-828	0.778[nan]-0.119[nan]-0.040[nan]-0.035[nan]-0.027[nan]
