ITS2 type profile UID		73739	73679	73756	74054	74609	74191	74193	74172	74173	74575	74082	73852	74181	73879	74155	74028	74174	74118	73890	73889	74288	73910	74040	73930	74074	74208	74610	74000	74131	74017	74154	74032	74165	74678	73913	74554	74176	74569	74570	74062	74199	74200	74209	74092	74608	74225	74306	74302	74310	74322	74345	74375	74395	74299	74311	74336
Clade		A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D
Majority ITS2 sequence		A3	A3	A7bb	C1/C3	C3k/C50a/C3	C15	C21/C3	C21	C3/C3u/C3fq	C15	C1	C1	C8c/C8f	C3/C1	C1/C3	C21	C3u/C3	C3	C3	C1/C3	C3fn	C31	C31	C3	C1	C65	C1	C21	C21	C21	C1	C1	C21	C1b	C1	C1	C1	C1	C1	C1	C1	C42.2	C62	C1	C3	C50a	D1	D4/D6	D1	D4	D5	D5	D1bv	D1	D1	D1
Associated species		S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	None	S. goreaui	None	S. goreaui	None	None	None	None	S. goreaui	S. goreaui	None	S. goreaui	S. goreaui	None	None	S. goreaui	None	S. goreaui	None	None	None	None	S. goreaui	None	S. goreaui	None	None	None	S. goreaui	S. goreaui	None	None	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	None	None	S. goreaui	S. goreaui	None	S. trenchii	S. glynnii,S. trenchii	S. glynnii	None	None	None	None	S. trenchii	S. trenchii	S. trenchii
ITS2 profile abundance local		21	4	1	15	12	7	7	6	6	5	5	5	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	4	2	2	2	1	1	1	1	1
ITS2 profile abundance DB		21	94	1	133	14	62	44	6	7	6	272	59	4	7	48	8	6	11	64	22	8	6	140	195	75	4	543	24	14	8	16	18	8	50	10	43	15	14	282	50	28	60	1	138	237	45	111	41	7	26	25	15	1	26	35	31
ITS2 type profile		A3-A3ah-A3ac-A3m-A3ae	A3	A7bb	C1/C3	C3k/C50a/C3-C3ba-C1-C50y-C3dq-C50f	C15/C1	C21/C3	C21-C21an-C21ao-C3	C3/C3u/C3fq/C115-C1	C15-C15ed-C15ax	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C1	C8c/C8f-C42.2-C8e-C8	C3/C3v/C1-C1q-C1n	C1/C42.2/C3-C1b	C21ai/C21	C3u/C3-C115-C1	C3/C1-C3v-C1q-C1n-C1cq	C3/C21/C3av-C3at-C3b-C3dp	C3/C1n/C3v/C1-C1q-C89-C3az-C1aa	C3fn	C17d/C31-C21-C17f-C17e-C21ac	C31-C21-C31d-C21ac-C21aj	C3-C3de-C3bb-C21ae-C3an-C3s-C3dk	C42.2/C1-C1b-C3-C1au	C65	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C3	C21	C21-C21u-C3-C21w-C21v	C21-C3-C21ag-C21af	C3/C1-C1n-C3v-C1q-C3fh	C1/C1b/C3-C1u-C1bo	C21-C21am-C3	C1b	C50b/C1/C3-C1c-C1b	C1/C1c-C1b-C1al-C42.2	C1-C1av-C1aw-C3ct-C3-C1c	C1/C3/C1c-C1b-C72k	C1/C3-C1c-C1b-C72k-C1w	C1d/C1/C42.2-C1b-C3cg-C3	C1/C93a	C42.2	C62	C42a/C42.2/C1/C1b/C1j/C3-C1au	C50c/C50a/C3/C1-C50f-C3b-C50u	C50a	D1-D4-D4c-D1c-D2	D1/D4/D6	D1/D6	D4	D5	D5-D4-D9b-D4u	D1bv	D1/D4-D2-D4c	D1/D4-D1c	D1-D4-D2-D4c-D4f
109361	SH0096	1873.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109360	SH0095	1476.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109357	SH0092	1873.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109343	SH0078	1815.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109352	SH0087	1191.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109366	SH0102	1577.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109348	SH0083	1423.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109431	SH099	1142.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109365	SH0101	1008.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109358	SH0093	1589.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109359	SH0094	1367.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109345	SH0080	1600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109349	SH0084	719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109344	SH0079	4081.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109415	SH0151	0	0	0	376.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109396	SH0132	0	0	0	476.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109298	SH0034	0	0	0	928.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109270	SH0006	0	0	0	0	657.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109306	SH0041	0	0	0	0	762.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109271	SH0007	0	0	0	0	1342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109404	SH0140	0	0	0	0	859.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109300	SH0036	0	0	0	0	1143.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109266	SH0002	0	0	0	0	1085.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109272	SH0008	0	0	0	0	878.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109368	SH0104	0	0	0	0	496.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109367	SH0103	0	0	0	0	1116.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109273	SH0009	0	0	0	0	797.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109317	SH0052	0	0	0	0	503.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109318	SH0053	0	0	0	0	1197.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109382	SH0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229.0	0	0	0	0	0	0	0	0	0
109410	SH0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703.0	0	0	0	0	0	0	0	0	0
109383	SH0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.0	0	0	0	0	0	0	0	0	0
109381	SH0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292.0	0	0	0	0	0	0	0	0	0
109380	SH0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266.0	0	0	0	0	0	0	0	0	0
109384	SH0120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375.0	0	0	0	0	0	0	0	0	0
109377	SH0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306.0	0	0	0	0	0	0	0	0	0
109283	SH0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426.0	0	0	0	0	0	0	0	0	0
109336	SH0071	0	0	0	0	0	747.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109276	SH0012	0	0	0	0	0	635.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109372	SH0108	0	0	0	0	0	538.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109301	SH0037	0	0	0	0	0	1573.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109406	SH0142	0	0	0	0	0	547.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109278	SH0014	0	0	0	0	0	462.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109374	SH0110	0	0	0	0	0	420.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109296	SH0032	0	0	0	0	0	0	1572.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109287	SH0023	0	0	0	0	0	0	1052.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109315	SH0050	0	0	0	0	0	0	4858.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109285	SH0021	0	0	0	0	0	0	1597.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109378	SH0114	0	0	0	0	0	0	465.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109330	SH0065	0	0	0	0	0	0	634.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.0	0	0	0	0	0	0	0	0
109297	SH0033	0	0	0	0	0	0	1155.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109274	SH0010	0	0	0	0	0	0	0	2001.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109369	SH0105	0	0	0	0	0	0	0	1031.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109411	SH0147	0	0	0	0	0	0	0	3781.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109339	SH0074	0	0	0	0	0	0	0	2160.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109338	SH0073	0	0	0	0	0	0	0	1544.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109423	SH0159	0	0	0	0	0	0	0	1255.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109302	SH0038	0	0	0	0	0	0	0	0	2210.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109284	SH0020	0	0	0	0	0	0	0	0	2709.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109426	SH0162	0	0	0	0	0	0	0	0	883.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109286	SH0022	0	0	0	0	0	0	0	0	1023.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109282	SH0018	0	0	0	0	0	0	0	0	2172.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109332	SH0067	0	0	0	0	0	0	0	0	684.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109295	SH0031	0	0	0	0	0	0	0	0	0	692.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109371	SH0107	0	0	0	24.0	0	0	0	0	0	690.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109373	SH0109	0	0	0	10.0	0	0	0	0	0	364.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109370	SH0106	0	0	0	25.0	0	0	0	0	0	559.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109407	SH0143	0	0	0	0	0	0	0	0	0	1022.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109400	SH0136	0	0	0	0	0	0	0	0	0	0	3365.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109289	SH0025	0	0	0	0	0	0	0	0	0	0	1823.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109429	SH0165	0	0	0	0	0	0	0	0	0	0	1359.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109408	SH0144	0	0	0	0	0	0	0	0	0	0	1850.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109421	SH0157	0	0	0	0	0	0	0	0	0	0	739.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109413	SH0149	0	0	0	0	0	0	0	0	0	0	0	988.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506.0	0	0	0	0	0	0	0	504.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109409	SH0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651.0	0	0	0	0	0	0	0	0
